Geo_FILEID	Geo_STUSAB	Geo_GEOCOMP	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	Geo_GEOID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_FIPS	Geo_QName	SE_A00001_001	SE_A00002_001	SE_A00002_002	SE_A00002_003	SE_A00003_001	SE_A00003_002	SE_A00003_003	SE_A10008_001	SE_A10008_002	SE_A10008_003	SE_A10008_004	SE_A10008_005	SE_A10008_006	SE_A10008_007	SE_A10008_008	SE_A10008_009	SE_A10003_001	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008	SE_A12003_001	SE_A12003_002	SE_A12003_003	SE_A17002_001	SE_A17002_002	SE_A17002_003	SE_A17002_004	SE_A17002_005	SE_A17002_006	SE_A17002_007	SE_A17005_001	SE_A17005_002	SE_A17005_003	SE_A14001_001	SE_A14001_002	SE_A14001_003	SE_A14001_004	SE_A14001_005	SE_A14001_006	SE_A14001_007	SE_A14001_008	SE_A14001_009	SE_A14001_010	SE_A14001_011	SE_A14001_012	SE_A14001_013	SE_A14001_014	SE_A14001_015	SE_A14001_016	SE_A14001_017	SE_A10026_001	SE_A10026_002	SE_A10026_003	SE_A10026_004	SE_A10026_005	SE_A10026_006	SE_A10026_007	SE_A10026_008	SE_A10026_009	SE_A10026_010	SE_A10026_011	SE_A10026_012	SE_A10026_013	SE_A10026_014	SE_A10026_015	SE_A10026_016	SE_A10026_017	SE_A10026_018	SE_A10026_019	SE_A10026_020	SE_A10026_021	SE_A10026_022	SE_A10026_023	SE_A14024_001	SE_A14028_001	SE_A10001_001	SE_A10060_001	SE_A10060_002	SE_A10060_003	SE_A10044_001	SE_A10044_002	SE_A10044_003	SE_A10047_001	SE_A10047_002	SE_A10047_003	SE_A10047_004	SE_A10035_001	SE_A10035_002	SE_A10035_003	SE_A10035_004	SE_A10035_005	SE_A10035_006	SE_A10035_007	SE_A10035_008	SE_A10035_009	SE_A10035_010	SE_A18001_001	SE_A18001_002	SE_A18001_003	SE_A18001_004	SE_A18001_005	SE_A18001_006	SE_A18001_007	SE_A18001_008	SE_A18001_009	SE_A18002_001	SE_A18002_002	SE_A18002_003	SE_A18002_004	SE_A18002_005	SE_A18002_006	SE_A18003_001	SE_A18010_001	SE_A18010_002	SE_A18010_003	SE_A18010_004	SE_A18010_005	SE_A18010_006	SE_A18010_007	SE_A13004_001	SE_A13004_002	SE_A13004_003	SE_A13004_004	SE_A13004_005	SE_A13004_006	SE_A13004_007	SE_A09001_001	SE_A09001_002	SE_A09001_003	SE_A09001_004	SE_A09001_005	SE_A09001_006	SE_A09001_007	SE_A09001_008	SE_A09001_009	SE_A09001_010	SE_A08001_001	SE_A08001_002	SE_A08001_003	SE_A08001_004	SE_A08001_005	SE_A08001_006	SE_A08002B_007	SE_A08002B_001	SE_A08002B_002	SE_A08002B_003	SE_A08002B_004	SE_A08002B_005	SE_A08002B_006
ACSSF	ca	0	23					6	37																																						05000US06037	Los Angeles County			6037	Los Angeles County, California	10039107	10039107	2473.7873065928	4058.1932703935	4751.121	4058.193	692.928	3328398	2204715	1488600	716115	234179	481936	1123683	542820	580863	2.96	6961614	1403181	5558433	4119755	2349549	798358	266501	96410	494495	12887	481608	8134683	5313215	7530	5305685	5037815	267870	2821468	5305685	5037815	267870	3328398	179792	143991	119611	129282	117396	125801	121267	117627	109798	225363	314373	411556	335632	222126	280131	374652	3328398	379133	7469	27897	343767	365664	26665	26799	312200	343865	38625	45993	259247	531692	98446	143148	290098	1612521	828893	491544	292084	49636	45887	36044	0.494	3579423	3328398	1511628	1816770	3579423	3328398	251025	251025	75624	17352	158049	1511628	15307	12811	19249	12498	60598	324925	538489	231667	296084	1770883	41663	60959	59931	122841	245724	282930	466258	490577	1816770	52100	701589	457633	520741	84707	33.2999992371	1577	1194	1347	1727	1980	2228	2214	9872009	566314	289348	465909	895880	904742	6749816	4931598	4641935	285148	1059977	864838	942399	745707	535363	208503	289663	9932087	8962079	707960	95440	102416	64192	9743678	5014824	4364525	481562	50741	72657	45339
ACSSF	ca	0	24					6	39																																						05000US06039	Madera County			6039	Madera County, California	157327	157327	73.6229802175	2136.9278931022	2153.239	2136.928	16.31125	44387	36621	26111	10510	3302	7208	7766	3370	4396	3.35	99392	26886	72506	47435	14022	3906	843	180				119190	66253	511	65742	60238	5504	52937	65742	60238	5504	44387	2666	759	1219	2004	2482	3763	1671	1188	2261	2433	4714	6278	4903	3278	2590	2178	44387	3976	218	127	3631	8107	2241	264	5602	5120	1663	767	2690	6885	2853	2416	1616	18560	12737	4954	869	319	1420	24584	0.4464	51440	44387	28221	16166	51440	44387	7053					28221	557	176	601	1050	12384	9994	1697	481	1281										16166	475	6697	4232	3157	1605	30.2999992371	1028		661	949	1089	1333	1692	148449	8185	7912	9996	18315	14816	89225		54555	9381	11394	7608	8693	8922	4744	3813		155987	137314	9688	7749	822	414	147238	58104	48735	6265	2503	450	151
ACSSF	ca	0	25					6	41																																						05000US06041	Marin County			6041	Marin County, California	258826	258826	497.3054567217	520.4567866724	828.1915	520.4568	307.7347	105298	64572	52458	12114	4164	7950	40726	14745	25981	2.4	188509	14076	174433	153411	112509	44064	16909	5607				214016	136409	8	136401	130860	5541	77607	136401	130860	5541	105298	3559	2653	2354	2340	2729	2246	3466	3143	2686	4280	6855	11553	8381	8415	10574	30064	105298	7492	342	141	7009	6998	458	530	6010	9040	1355	1258	6427	11004	1634	1822	7548	68474	34986	17354	16134	750	1540	75175	0.5322	113345	105298	65325	39973	113345	105298	8047	8047	727	0	7320											38433	941	1903	1127	755	788	2143	9808	20968	39973	2379	14895	11481	9483	1735	32.0999984741	2096	1708	1796	2267	2676	2272	2594	253444	6773	3440	6712	10468	19401	206650	128119	110235	13764	24770	14831	16930	16391	18386	5163	17884	257160	221913	15921	13913	3328	2085	250552	93695	72893	11132	6348	2024	1298
ACSSF	ca	0	26					6	45																																						05000US06045	Mendocino County			6045	Mendocino County, California	86749	86749	24.7404808074	3506.3586950982	3878.154	3506.359	371.7956	34478	18776	12601	6175	1033	5142	15702	7273	8429	2.45	61561	10097	51464	37676	14346	5383	1507	198				70332	38998	41	38957	36941	2016	31334	38957	36941	2016	34478	1315	2706	1779	2285	1666	1536	1072	2697	1449	3241	3184	3612	3745	1192	1600	1399	34478	5017	572	413	4032	5040	946	732	3362	4945	1456	1431	2058	6146	2916	1408	1822	11307	8116	2356	835	618	1405	30284	0.4603	41027	34478	20758	13720	41027	34478	6549																								13720	127	5536	3265	3183	1609	31.7999992371	1120	736	960	1121	1566	1198		85168	4404	2192	4683	9893	11027	52969		32330	8497	10857	3367	5144	1577	1348	1540		85338	74386	5594	2464	2712	182	83120	35412	29403	2357	914	2712	26
ACSSF	ca	0	27					6	47																																						05000US06047	Merced County			6047	Merced County, California	277680	277680	143.4559595988	1935.6463180524	1978.652	1935.646	43.00555	80645	63662	40294	23368	8072	15296	16983	8473	8510	3.36	167460	51815	115645	74936	24176	7155	2345	951				205769	125250	365	124885	112718	12167	80519	124885	112718	12167	80645	2718	3659	3274	4389	3279	3847	4573	4095	3374	6126	10004	10945	8336	2931	4726	4369	80645	8482	476	707	7299	11194	1377	2236	7581	11837	2904	3451	5482	15609	5994	6581	3034	30543	22089	6803	1651	581	2399	24704	0.4402	86386	80645	42067	38578	86386	80645	5741	5741	970	521	4250	42067	1190	516	950	844	20069	14063	2427	1224	784	36179	534	3243	5721	5854	7041	5712	6414	1660	38578	1123	19092	8519	6939	2905	27.2999992371	1097	680	679	928	1192	1575	2216	270830	16637	12322	16437	26954	31032	167448	108750	104114	18718	31694	16278	10729	8726	7682	10287	4636	273697	236968	18413	13095	3844	1377	267322	133955	110758	13987	5780	2528	902
ACSSF	ca	0	28					6	53																																						05000US06053	Monterey County			6053	Monterey County, California	434061	434061	132.2662905815	3281.7205207128	3771.221	3281.72	489.5003	128227	92883	66556	26327	8279	18048	35344	14776	20568	3.25	277924	77485	200439	143422	71433	29815	9753	4365				333729	205009	5540	199469	191694	7775	128720	199469	191694	7775	128227	4158	2881	4723	5939	4337	4674	4273	4801	4804	8049	12433	20215	13207	10578	9614	13541	128227	10743	219	654	9870	14912	1486	1249	12177	13776	1203	2340	10233	20359	4480	5746	10133	66594	33057	20913	12624	771	1072	31647	0.449	143213	128227	67742	60485	143213	128227	14986	14986	3709	1007	10270	67742	722	932	864	961	4557	16998	21462	10827	10419	59413	797	1420	2626	3536	6181	9391	18225	17237	60485	1786	24267	17455	15398	1579	32.7999992371	1658	1311	1340	1601	1920	2186	2461	416906	24074	13028	15736	41506	44488	278074	193364	183850	15233	57809	57036	21994	19188	7196	5394	9514	428551	381826	22213	13716	9266	1530	411161	203440	175952	14711	5306	6516	955
ACSSF	ca	0	29					6	55																																						05000US06055	Napa County			6055	Napa County, California	137744	137744	184.07342121	748.310098734	788.5809	748.3101	40.27076	48107	31603	24977	6626	2282	4344	16504	6840	9664	2.78	97666	14180	83486	65525	35320	13730	5684	1684				113425	71916	120	71796	69450	2346	41509	71796	69450	2346	48107	1625	1541	758	1046	1007	935	1289	1791	2087	2962	3828	6788	5329	3095	5425	8601	48107	3571	169	260	3142	2969	207	110	2652	5082	840	740	3502	6790	1860	1478	3452	28816	15081	9035	4700	238	641	47729	0.4673	55659	48107	31820	16287	55659	48107	7552	7552	1025	327	6200	31820	574	26	1342	1048	1762	3783	10845	5786	6654										16287	366	7405	4370	3351	795	29.8999996185	1835	1307	1258	1865	2424	2846	2716	134438	3880	1885	3323	6306	7495	111549	67719	63478	9995	18310	11705	9623	6581	4815	2449	4241	136369	121000	6878	6590	1189	712	132520	43821	37776	3253	1838	658	296
ACSSF	ca	0	30					6	57																																						05000US06057	Nevada County			6057	Nevada County, California	99755	99755	104.1544704714	957.7601378848	973.7957	957.7601	16.03559	39365	25565	20307	5258	1887	3371	13800	6005	7795	2.5	77008	3628	73380	56319	27584	10220	2697	837				84307	45909	0	45909	45016	893	38398	45909	45016	893	39365	1370	622	1342	2438	1490	2890	2082	1930	1759	1858	3462	5344	2841	2455	2671	4811	39365	2587	168	107	2312	6636	319	414	5903	5771	997	1164	3610	5320	1325	996	2999	18122	11095	5189	1838	289	640	40556	0.4716	54825	39365	28610	10755	54825	39365	15460	15460	850	1155	13455																				10755	301	2723	3306	3785	640	42.5999984741	1407	1442	1131	1192	1812	1948	2308	98775	2962	1399	3983	9803	7952	72676		35907	6675	11489	5159	4284	3786	1900	2614		98236	89733	3592	3331	1499	81	97061	26255	22630	1021	1298	1306	0
ACSSF	ca	0	31					6	59																																						05000US06059	Orange County			6059	Orange County, California	3175692	3175692	4005.7591789337	792.7815572891	947.9965	792.7816	155.2149	1044280	747163	570578	176585	58043	118542	297117	135013	162104	3	2200478	305454	1895024	1504008	902844	334171	107647	39271	162935	3227	159708	2568184	1692410	2024	1690386	1621719	68667	875774	1690386	1621719	68667	1044280	42330	26740	22975	28379	25818	30713	28022	29257	28990	60116	88005	129652	119913	85490	120403	177477	1044280	73369	2461	5852	65056	83727	10702	6729	66296	85397	10805	7736	66856	147099	24843	27960	94296	628922	323969	188278	116675	16302	9464	43200	0.4598	1118148	1044280	596413	447867	1118148	1044280	73868	73868	23976	8139	41753	596413	3941	4726	9168	6066	19123	65784	210376	153291	123938	438403	6508	10737	6832	7472	26441	46479	133566	200368	447867	12445	183485	117123	114142	20672	32.0999984741	1929	1605	1636	1944	2482	2969	3003	3138405	136115	60708	99336	185108	229563	2427575	1593750	1472478	113167	410589	323437	293791	191929	93550	46015	121272	3142062	2756029	259139	73337	30531	23026	3097330	1346306	1087449	178509	46909	18919	14520
ACSSF	ca	0	32					6	61																																						05000US06061	Placer County			6061	Placer County, California	398329	398329	283.0886991722	1407.0819540477	1502.254	1407.082	95.17206	147236	105590	87697	17893	4931	12962	41646	16866	24780	2.68	281521	16553	264968	214311	118018	39817	12789	3251	19873	893	18980	321137	197593	1150	196443	190621	5822	123544	196443	190621	5822	147236	4092	3661	3377	4793	3190	5199	3191	3620	4144	9509	10491	19882	16477	14147	17286	24177	147236	9592	108	729	8755	13002	936	2413	9653	10832	2397	2405	6030	19785	5348	4741	9696	91676	51309	27751	12616	718	1631	47164	0.4375	168942	147236	106512	40724	168942	147236	21706	21706	1959	359	19388	106512	471	1697	952	673	6012	37724	41215	11209	6559	39093	403	1861	926	2603	5823	5246	9615	12616	40724	1182	17515	9823	10179	2025	30.7999992371	1640	1023	1272	1485	2033	2276	3043	395459	8008	11591	8671	18138	23275	325776	189290	169003	19873	46152	30715	30032	26227	8823	7181	20287	395304	345812	18775	20384	7863	2470	391604	103089	80713	9818	7158	4012	1388
ACSSF	ca	0	33					6	65																																						05000US06065	Riverside County			6065	Riverside County, California	2470546	2470546	342.8191035052	7206.5587207354	7303.16	7206.559	96.60072	734948	542505	395213	147292	45703	101589	192443	93421	99022	3.31	1620917	273714	1347203	921573	381291	137572	39210	15789	140979	3596	137383	1927382	1146224	5359	1140865	1074894	65971	781158	1140865	1074894	65971	734948	36422	26920	23735	29424	26343	24583	27906	26579	26240	54220	72490	99515	82187	53108	63507	61769	734948	74486	3468	4664	66354	78550	9636	9060	59854	79648	15742	14590	49316	125331	33231	31211	60889	358578	205721	106928	45929	10056	8299	30383	0.4513	857222	734948	493233	241715	857222	734948	122274	122274	12219	10589	99466	493233	8796	12293	12713	11857	91153	236422	90656	15405	13938	233416	3895	9104	12308	22687	32406	36807	64345	51864	241715	5394	94469	65807	62720	13325	33.2000007629	1497	969	1122	1384	1727	2135	2627	2427100	127635	60814	85002	196779	250105	1706765	1053461	991730	80826	231652	171122	167839	141056	118138	81097	61731	2445387	2155002	155849	94736	24858	14942	2407400	764794	635675	83157	30666	9722	5574
ACSSF	ca	0	34					6	67																																						05000US06067	Sacramento County			6067	Sacramento County, California	1552058	1552058	1607.6088985896	965.4450167337	994.3619	965.445	28.91688	556752	361011	251350	109661	32350	77311	195741	83362	112379	2.74	1058536	117246	941290	694671	330589	110417	34235	10356	77858	2111	75747	1230991	786509	1221	785288	741741	43547	444482	785288	741741	43547	556752	24302	22101	17398	22338	19461	23795	21137	22459	18440	41379	56836	76266	61180	35438	47268	46954	556752	56359	1651	3872	50836	64160	6716	6182	51262	61177	9615	9471	42091	97313	25084	33386	38843	265887	164751	76368	24768	4931	6925	34603	0.4435	578966	556752	316102	240650	578966	556752	22214	22214	6113	2991	13110	316102	3546	5185	4300	3600	58414	157818	61678	14450	7111	233725	4402	8458	11375	24365	44758	52198	62333	25836	240650	6521	98579	61711	63792	10047	32.4000015259	1363	1058	1118	1348	1662	1845	2169	1529955	79074	51550	62011	121309	137809	1078202	730635	678261	51338	177406	164544	142732	85081	31585	25575	52374	1535411	1304448	145637	61014	14577	9735	1511026	632608	486434	94795	37435	8251	5693
ACSSF	ca	0	35					6	71																																						05000US06071	San Bernardino County			6071	San Bernardino County, California	2180085	2180085	108.6787642035	20059.8986929669	20105.11	20059.9	45.21069	644758	487955	336570	151385	47940	103445	156803	74146	82657	3.31	1390788	268144	1122644	764240	312695	109680	27537	10758	125618	3362	122256	1675554	1025990	12976	1013014	953654	59360	649564	1013014	953654	59360	644758	31350	24284	19221	27683	26936	29112	27281	27994	22283	47701	65216	94889	67644	44645	48506	40013	644758	66259	2406	4504	59349	81794	9016	9051	63727	76243	15789	13574	46880	111841	31287	35202	45352	293903	170562	85896	37445	6060	8658	26926	0.4336	731393	644758	388079	256679	731393	644758	86635	86635	10092	7928	68615	388079	6918	9484	12925	12657	89743	162821	65777	19020	8734	248021	5326	11798	16456	31709	42815	43284	60103	36530	256679	5381	103218	66931	68204	12945	33	1342	1208	1005	1251	1516	1860	2147	2130585	131475	57117	93905	208591	216146	1423351	947297	891747	85214	240580	176558	133598	107822	90345	57630	55550	2154236	1913433	135060	71809	24785	9149	2107650	812236	673935	87697	30721	14325	5558
ACSSF	ca	0	36					6	73																																						05000US06073	San Diego County			6073	San Diego County, California	3338330	3338330	793.185311422	4208.7642722669	4525.637	4208.764	316.8723	1132434	763224	574639	188585	60992	127593	369210	180016	189194	2.87	2287472	272475	2014997	1599627	912647	352583	116815	47971	169798	3106	166692	2702171	1802924	81318	1721606	1624854	96752	899247	1721606	1624854	96752	1132434	46120	36978	32516	35411	35697	35755	35887	38341	37225	73373	99584	151966	121542	91619	110173	150247	1132434	97901	2715	7853	87333	105227	9626	7138	88463	109815	17977	13636	78202	171587	29916	37692	103979	623341	308501	201689	113151	14103	10460	40389	0.4633	1233923	1132434	609641	522793	1233923	1132434	101489	101489	26521	7118	67850	609641	6105	7557	10318	6230	28798	138031	225949	95852	90801	512333	7510	15167	12858	22396	44076	74091	155075	181160	522793	11936	210872	135237	145045	19703	32.7000007629	1758	1383	1436	1790	2160	2558	2135	3255097	159042	68511	106309	233751	253101	2434383	1671791	1546445	116832	438222	365349	307571	195043	86416	37012	125346	3300615	2866396	276268	58140	72494	27317	3211418	1427450	1168383	167193	31650	43709	16515
ACSSF	ca	0	37					6	75																																						05000US06075	San Francisco County			6075	San Francisco County, California	881549	881549	18811.0281352245	46.863414039	231.89	46.86341	185.0266	365851	167865	127692	40173	10944	29229	197986	107098	90888	2.36	701279	81539	619740	536461	415124	169239	53833	19556				774619	560066	166	559900	539057	20843	214553	559900	539057	20843	365851	14708	18563	10009	7580	9188	6332	7543	7825	5911	14080	23206	29852	28985	25958	43690	112421	365851	37443	677	6945	29821	22392	3316	2669	16407	20952	4192	4294	12466	36512	10344	7677	18491	238916	148074	56808	34034	3859	5777	75084	0.5043	406399	365851	135852	229999	406399	365851	40548	40548	7241	1307	32000											224222	11950	16150	9148	11031	16981	16936	32556	109470	229999	28153	121447	39413	32512	8474	22.2999992371	1959	1307	2005	2314	2310	2509	1081	867649	41715	12771	27870	46252	36485	702556	526022	486898	19754	86782	96989	117348	89387	53131	23507	39124	873649	747026	65371	31260	18370	11622	853684	491442	398572	49861	19829	14594	8586
ACSSF	ca	0	38					6	77																																						05000US06077	San Joaquin County			6077	San Joaquin County, California	762148	762148	547.3683290235	1392.3860033328	1426.739	1392.386	34.35318	230241	171826	122991	48835	14942	33893	58415	25307	33108	3.22	484712	98926	385786	244660	96795	28539	8959	2660	45332	741	44591	581204	348301	120	348181	326476	21705	232903	348181	326476	21705	230241	10304	7429	9002	9361	9267	10183	7930	8138	9466	17994	25455	28245	22999	15798	20782	17888	230241	23693	265	1880	21548	27838	3239	2288	22311	24867	3415	6027	15425	42917	13335	12829	16753	105408	64624	30353	10431	2052	3466	28919	0.4504	248673	230241	134428	95813	248673	230241	18432	18432	4814	2042	11576	134428	2071	2075	1934	1912	28828	64592	24491	5687	2838	92347	1923	3919	6502	15116	18228	12428	20784	13447	95813	3839	39454	24576	23587	4357	31.5	1260	898	956	1134	1596	1901	1952	742138	39900	30099	31592	76896	79177	484474	315341	302072	33722	84046	49123	35971	29999	33987	35224	13269	753470	682718	44353	19415	5173	1811	732559	309654	268328	27040	9483	3820	983
ACSSF	ca	0	39					6	79																																						05000US06079	San Luis Obispo County			6079	San Luis Obispo County, California	283111	283111	85.7746362139	3300.637723418	3615.511	3300.638	314.8737	106512	67359	54321	13038	4000	9038	39153	17861	21292	2.51	191183	17672	173511	136345	71071	27494	8192	2966				240018	141242	1989	139253	134530	4723	98776	139253	134530	4723	106512	4565	3501	3956	3685	2872	5114	3822	4773	4080	6862	8439	14436	12213	7987	10442	9765	106512	11070	682	511	9877	11671	1532	2057	8082	12300	1953	2487	7860	15301	4425	3517	7359	54461	30718	14864	8879	677	1032	38308	0.4465	123969	106512	66483	40029	123969	106512	17457	17457	3264	1332	12861	66483	1126	1044	1255	333	2858	13495	23968	12884	9520	38997	558	1019	1243	2769	5192	3989	15329	8898	40029	546	16561	10539	11039	1344	33.0999984741	1654	1040	1244	1632	2080	2006	885	267499	16989	6266	8705	11854	17112	206573	134126	122370	31895	36905	25700	13794	9971	1951	2154	11756	280112	224785	31933	17077	5543	774	264451	98243	70794	18995	6457	1754	243
